Year,County_FIPS,County,State,Diagnosed Diabetes Percentage,Severe Housing Cost Burden
2018,13143,Haralson County,Georgia,5.9,12.09471767
2018,13219,Oconee County,Georgia,6.7,7.374326419
2018,13113,Fayette County,Georgia,6.8,10.59876972
2018,13023,Bleckley County,Georgia,6.9,11.98062707
2018,13125,Glascock County,Georgia,7,6.5913371
2018,13201,Miller County,Georgia,7,8.774439676
2018,13291,Union County,Georgia,7,13.32987552
2018,13109,Evans County,Georgia,7.1,14.6034298
2018,13253,Seminole County,Georgia,7.1,16.63436693
2018,13319,Wilkinson County,Georgia,7.1,15.18324607
2018,13005,Bacon County,Georgia,7.2,14.08004607
2018,13065,Clinch County,Georgia,7.2,11.79664363
2018,13281,Towns County,Georgia,7.2,15.29020179
2018,13283,Treutlen County,Georgia,7.2,16.7281106
2018,13025,Brantley County,Georgia,7.3,14.06855902
2018,13101,Echols County,Georgia,7.3,5.877742947
2018,13187,Lumpkin County,Georgia,7.3,15.40164733
2018,13293,Upson County,Georgia,7.3,14.32898172
2018,13027,Brooks County,Georgia,7.4,15.49452589
2018,13117,Forsyth County,Georgia,7.4,8.545820007
2018,13119,Franklin County,Georgia,7.4,10.63720452
2018,13123,Gilmer County,Georgia,7.4,9.204234973
2018,13311,White County,Georgia,7.4,9.424638193
2018,13127,Glynn County,Georgia,7.5,13.17954166
2018,13011,Banks County,Georgia,7.6,9.008601177
2018,13137,Habersham County,Georgia,7.6,10.68019895
2018,13249,Schley County,Georgia,7.6,14.47212337
2018,13275,Thomas County,Georgia,7.6,14.54425204
2018,13111,Fannin County,Georgia,7.7,10.27930838
2018,13171,Lamar County,Georgia,7.7,12.93677881
2018,13241,Rabun County,Georgia,7.7,16.79963872
2018,13007,Baker County,Georgia,7.8,10.69387755
2018,13083,Dade County,Georgia,7.8,9.606461591
2018,13085,Dawson County,Georgia,7.8,8.282608696
2018,13133,Greene County,Georgia,7.8,13.70694523
2018,13147,Hart County,Georgia,7.8,13.44873502
2018,13161,Jeff Davis County,Georgia,7.8,9.850746269
2018,13221,Oglethorpe County,Georgia,7.8,12.84668721
2018,13307,Webster County,Georgia,7.8,10.64237776
2018,13053,Chattahoochee County,Georgia,7.9,15.35532995
2018,13149,Heard County,Georgia,7.9,11.62051748
2018,13209,Montgomery County,Georgia,7.9,8.368644068
2018,13239,Quitman County,Georgia,7.9,10.17142857
2018,13273,Terrell County,Georgia,7.9,17.16057891
2018,13309,Wheeler County,Georgia,7.9,9.339975093
2018,13003,Atkinson County,Georgia,8,9.299820467
2018,13049,Charlton County,Georgia,8,14.52872281
2018,13197,Marion County,Georgia,8,8.005042547
2018,13263,Talbot County,Georgia,8,10.29023747
2018,13211,Morgan County,Georgia,8.1,9.320273078
2018,13223,Paulding County,Georgia,8.1,9.656243644
2018,13243,Randolph County,Georgia,8.1,16.24345022
2018,13317,Wilkes County,Georgia,8.1,16.07708553
2018,13043,Candler County,Georgia,8.2,12.63528139
2018,13159,Jasper County,Georgia,8.2,10.86053413
2018,13165,Jenkins County,Georgia,8.2,19.52251436
2018,13229,Pierce County,Georgia,8.2,8.334569183
2018,13059,Clarke County,Georgia,8.3,23.59409625
2018,13037,Calhoun County,Georgia,8.4,13.36317136
2018,13067,Cobb County,Georgia,8.4,11.79451217
2018,13121,Fulton County,Georgia,8.4,16.43338729
2018,13163,Jefferson County,Georgia,8.4,13.671875
2018,13259,Stewart County,Georgia,8.4,12.89947705
2018,13265,Taliaferro County,Georgia,8.4,15.70512821
2018,13055,Chattooga County,Georgia,8.5,9.408021816
2018,13155,Irwin County,Georgia,8.5,7.753669432
2018,13157,Jackson County,Georgia,8.5,8.784042961
2018,13167,Johnson County,Georgia,8.5,8.327803583
2018,13237,Putnam County,Georgia,8.5,16.03835258
2018,13321,Worth County,Georgia,8.5,10.49167635
2018,13015,Bartow County,Georgia,8.6,11.26952169
2018,13017,Ben Hill County,Georgia,8.6,15.10841284
2018,13141,Hancock County,Georgia,8.6,17.61871989
2018,13289,Twiggs County,Georgia,8.6,10.52269601
2018,13235,Pulaski County,Georgia,8.7,15.99135602
2018,13257,Stephens County,Georgia,8.7,10.28376139
2018,13269,Taylor County,Georgia,8.7,20.8320951
2018,13013,Barrow County,Georgia,8.8,10.84863076
2018,13079,Crawford County,Georgia,8.8,8.787806621
2018,13103,Effingham County,Georgia,8.8,8.547169811
2018,13105,Elbert County,Georgia,8.8,15.60654858
2018,13173,Lanier County,Georgia,8.8,16.25036732
2018,13181,Lincoln County,Georgia,8.8,16.19241192
2018,13189,Mcduffie County,Georgia,8.8,11.5115989
2018,13303,Washington County,Georgia,8.8,17.68764963
2018,13057,Cherokee County,Georgia,8.9,11.07486727
2018,13061,Clay County,Georgia,8.9,13.30008313
2018,13099,Early County,Georgia,8.9,17.4205221
2018,13183,Long County,Georgia,8.9,8.954191876
2018,13195,Madison County,Georgia,8.9,11.39664805
2018,13199,Meriwether County,Georgia,8.9,11.88405797
2018,13207,Monroe County,Georgia,8.9,12.31506564
2018,13225,Peach County,Georgia,8.9,11.30443735
2018,13301,Warren County,Georgia,8.9,8.864398658
2018,13001,Appling County,Georgia,9,11.38807429
2018,13129,Gordon County,Georgia,9,11.4019567
2018,13205,Mitchell County,Georgia,9,14.60777851
2018,13231,Pike County,Georgia,9,7.832764505
2018,13019,Berrien County,Georgia,9.1,9.509021
2018,13029,Bryan County,Georgia,9.2,10.72840633
2018,13277,Tift County,Georgia,9.2,14.03966966
2018,13267,Tattnall County,Georgia,9.3,9.439215166
2018,13287,Turner County,Georgia,9.3,14.64153484
2018,13039,Camden County,Georgia,9.4,12.27140482
2018,13299,Ware County,Georgia,9.4,13.05414941
2018,13075,Cook County,Georgia,9.5,14.80112636
2018,13255,Spalding County,Georgia,9.5,13.90204737
2018,13073,Columbia County,Georgia,9.6,7.057330231
2018,13081,Crisp County,Georgia,9.6,16.54467441
2018,13009,Baldwin County,Georgia,9.7,19.91651382
2018,13035,Butts County,Georgia,9.7,10.10487354
2018,13051,Chatham County,Georgia,9.7,16.18029854
2018,13135,Gwinnett County,Georgia,9.7,14.77028431
2018,13177,Lee County,Georgia,9.7,9.13769664
2018,13227,Pickens County,Georgia,9.7,8.570945088
2018,13139,Hall County,Georgia,9.8,12.45226319
2018,13297,Walton County,Georgia,9.8,11.63501002
2018,13315,Wilcox County,Georgia,9.9,8.932461874
2018,13107,Emanuel County,Georgia,10,11.89275285
2018,13233,Polk County,Georgia,10,11.86868687
2018,13279,Toombs County,Georgia,10,12.62177961
2018,13031,Bulloch County,Georgia,10.1,15.79911749
2018,13145,Harris County,Georgia,10.1,9.694943586
2018,13247,Rockdale County,Georgia,10.1,13.55860544
2018,13251,Screven County,Georgia,10.1,8.746884206
2018,13305,Wayne County,Georgia,10.1,9.253974725
2018,13087,Decatur County,Georgia,10.2,13.262387
2018,13091,Dodge County,Georgia,10.2,13.34093501
2018,13285,Troup County,Georgia,10.2,17.23963386
2018,13033,Burke County,Georgia,10.4,10.08437123
2018,13071,Colquitt County,Georgia,10.4,12.63823065
2018,13193,Macon County,Georgia,10.7,15.98350716
2018,13047,Catoosa County,Georgia,10.8,9.744448073
2018,13097,Douglas County,Georgia,10.8,12.79612051
2018,13169,Jones County,Georgia,10.8,9.836699198
2018,13213,Murray County,Georgia,10.8,7.452093684
2018,13093,Dooly County,Georgia,10.9,8.86658302
2018,13179,Liberty County,Georgia,11.1,13.76701309
2018,13131,Grady County,Georgia,11.2,14.10888252
2018,13191,Mcintosh County,Georgia,11.2,15.52062868
2018,13089,Dekalb County,Georgia,11.3,16.18691508
2018,13077,Coweta County,Georgia,11.4,9.330819981
2018,13115,Floyd County,Georgia,11.4,11.9516278
2018,13153,Houston County,Georgia,11.5,11.35795908
2018,13151,Henry County,Georgia,11.6,11.18270033
2018,13271,Telfair County,Georgia,11.7,7.57390667
2018,13045,Carroll County,Georgia,11.9,11.69203618
2018,13069,Coffee County,Georgia,12,11.43755025
2018,13063,Clayton County,Georgia,12.2,17.86625558
2018,13295,Walker County,Georgia,12.2,9.681644967
2018,13313,Whitfield County,Georgia,12.2,9.453299737
2018,13095,Dougherty County,Georgia,12.6,21.26494786
2018,13215,Muscogee County,Georgia,12.9,17.62041179
2018,13175,Laurens County,Georgia,13.2,14.83366435
2018,13261,Sumter County,Georgia,13.6,14.88411058
2018,13245,Richmond County,Georgia,13.8,18.83336196
2018,13021,Bibb County,Georgia,14,19.12422621
2018,13217,Newton County,Georgia,14,16.18049475
2018,13185,Lowndes County,Georgia,14.4,14.58125559
